split,origin,policy,WAPE,MAE,BiasRatio,n
development,2023-01-10,control,0.4464836195837402,14.081219806763285,0.22211691270798628,184
development,2023-01-10,weight_soft,0.4527024918942607,14.277350872078234,0.23052641376999009,184
development,2023-01-10,weight_default,0.4580778167469843,14.446878100993205,0.2376098213548175,184
development,2024-06-20,control,0.3086895645216597,12.86059523809524,-0.11782775174305635,210
development,2024-06-20,weight_soft,0.30866045727052643,12.859382574570645,-0.11609921803175076,210
development,2024-06-20,weight_default,0.3092088391539343,12.88222920837034,-0.11470311082919231,210
development,2024-11-29,control,0.5320423892100192,39.44714285714286,0.07485549132947979,210
development,2024-11-29,weight_soft,0.5320423892100192,39.44714285714286,0.07485549132947979,210
development,2024-11-29,weight_default,0.5320423892100192,39.44714285714286,0.07485549132947979,210
development,2025-02-10,control,0.48174792319215587,16.925717703349285,0.2307946343456353,209
development,2025-02-10,weight_soft,0.4790075842644778,16.829438714134263,0.2355577169640227,209
development,2025-02-10,weight_default,0.47821000427163335,16.801416561562696,0.23958696532177498,209
benchmark,2026-01-04,control,0.7298706716729245,16.66190476190476,0.3331247392574051,210
benchmark,2026-01-04,weight_soft,0.7335000431833896,16.74475812867224,0.33846430271774475,210
benchmark,2026-01-04,weight_default,0.7370117772376112,16.82492600036718,0.34358976274518666,210
benchmark,2025-12-28,control,1.4768050780216875,26.58952380952381,1.3720708807193862,210
benchmark,2025-12-28,weight_soft,1.482435325102591,26.69089506768046,1.3777011278002902,210
benchmark,2025-12-28,weight_default,1.4878752960696817,26.788840449711746,1.383141098767381,210
benchmark,2025-12-21,control,3.378305519897304,50.12761904761904,3.3781771501925544,210
benchmark,2025-12-21,weight_soft,3.378814861585702,50.13517670810023,3.378686491880953,210
benchmark,2025-12-21,weight_default,3.379333005658908,50.14286497920551,3.3792046359541588,210
benchmark,2025-12-14,control,0.5804726165225431,33.88301587301587,0.25822863979985855,210
benchmark,2025-12-14,weight_soft,0.5809348869302621,33.90999925710072,0.2586909102075775,210
benchmark,2025-12-14,weight_default,0.5814116033702694,33.93782587672744,0.2591676266475849,210
