origin_type,strategy,model,quantile,actual_threshold,n,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio
development,direct,NeuralNet,0.9,87.09999999999991,239,35.57480869972006,48.18104753678118,22.870753980908095,0.2320075116444209,0.26914639135699,0.3971262658928778,-20.750287031845602,-0.13532672798895132
development,direct,Ensemble,0.9,87.09999999999991,239,31.723360408334127,42.896208102687424,20.75721597434258,0.20688959908292237,0.23538197771146727,0.3233086034820988,-16.945193688554557,-0.11051112755654048
development,direct,XGBoost,0.9,87.09999999999991,239,35.4798869687643,47.92155708075002,23.13832151751488,0.23138846250810893,0.26452295532378384,0.352163508343992,-20.71803561414136,-0.1351163945692631
development,direct,LightGBM,0.9,87.09999999999991,239,36.580201552004,49.591675742908144,23.808440671287613,0.2385643619103598,0.25916719158715207,0.3479227637868384,-11.014311419371282,-0.07183181240564675
development,direct,DynamicRidge,0.9,87.09999999999991,239,74.19190918351816,127.99316418377983,47.04794034458398,0.48385587619343573,0.44290575300283597,0.5955641145619763,11.53158732138917,0.07520532021207771
development,direct,SeasonalNaive,0.9,87.09999999999991,239,60.71966527196653,79.7948205657569,39.99190326591981,0.3959942150789969,0.47209128439939085,0.6481503053231401,-34.67782426778243,-0.22615766638469725
development,direct,MovingAvg28,0.9,87.09999999999991,239,82.87557835779593,104.81532307020863,50.429978587889615,0.5404879861247367,0.7011403574490506,0.8782719508992411,-75.9959210555445,-0.49562106399637446
recent_benchmark,direct,NeuralNet,0.9,60.0,85,25.036360162631986,37.17871598679345,20.718226100830268,0.2229300873479697,0.2031361185603365,0.2519599627670738,3.6288615494923913,0.03231230166633703
recent_benchmark,direct,Ensemble,0.9,60.0,85,19.193552316514847,25.802050010995128,17.209290026486098,0.17090424752815442,0.16584428675657575,0.2056012657032938,2.454208174318294,0.021852890720412216
recent_benchmark,direct,XGBoost,0.9,60.0,85,20.849165658389822,30.59071618506125,16.99558833727302,0.18564624774388588,0.1738435233725364,0.22261330963208553,-4.450367512422449,-0.03962719867545655
recent_benchmark,direct,LightGBM,0.9,60.0,85,24.336631909538717,31.168743386845513,23.919629233927832,0.21669952988799404,0.2199054898050905,0.2739600204032344,5.795922806683708,0.05160836356255136
recent_benchmark,direct,DynamicRidge,0.9,60.0,85,47.846525181041045,109.0207868083198,33.69295671255752,0.4260375697033824,0.3244392266927966,0.4747989825423364,19.27639558455523,0.17164190495361353
recent_benchmark,direct,SeasonalNaive,0.9,60.0,85,49.65882352941176,67.97049532918028,47.68810670780478,0.4421747328724073,0.3825107141827912,0.48044944871130557,13.235294117647058,0.11785040854808297
recent_benchmark,direct,MovingAvg28,0.9,60.0,85,48.68846872082167,61.52404434273635,48.739646749976174,0.43353444806933183,0.40471258966494933,0.49910163139887426,9.415732959850605,0.08384006930518556
